 a 	c
http://de.dbpedia.org/resource/Johann_Gottfried_Galle 	"118689304"@de
http://de.dbpedia.org/resource/Jodie_Foster 	"119093790"@de
http://de.dbpedia.org/resource/Jan_Hendrik_Oort 	"12017989X"@de
http://de.dbpedia.org/resource/Jacques_Chirac 	"118520466"@de
http://de.dbpedia.org/resource/James_Tobin 	"118623036"@de
http://de.dbpedia.org/resource/John_Napier 	"120942151"@de
http://de.dbpedia.org/resource/Jean-François_Champollion 	"118746219"@de
http://de.dbpedia.org/resource/Juri_Alexejewitsch_Gagarin 	"118537105"@de
http://de.dbpedia.org/resource/J._R._R._Tolkien 	"118623222"@de
http://de.dbpedia.org/resource/James_Dean 	"118524143"@de
http://de.dbpedia.org/resource/John_Forbes_Nash_Jr. 	"121563987"@de
http://de.dbpedia.org/resource/Gaius_Iulius_Caesar 	"118518275"@de
http://de.dbpedia.org/resource/Jürgen_Habermas 	"118544209"@de
http://de.dbpedia.org/resource/James_Hutton 	"118775383"@de
http://de.dbpedia.org/resource/Justus_von_Liebig 	"118572741"@de
http://de.dbpedia.org/resource/Kevin_Costner 	"119020858"@de
http://de.dbpedia.org/resource/Jean_Tinguely 	"118622838"@de
http://de.dbpedia.org/resource/Jorge_Luis_Borges 	"118513532"@de
http://de.dbpedia.org/resource/Johann_Sebastian_Bach 	"11850553X"@de
http://de.dbpedia.org/resource/Johannes_Kepler 	"118561448"@de
http://de.dbpedia.org/resource/Jules_Rimet 	"136784763"@de
http://de.dbpedia.org/resource/Joseph_von_Fraunhofer 	"116746599"@de
http://de.dbpedia.org/resource/János_Bolyai 	"119372886"@de
http://de.dbpedia.org/resource/Jared_Leto 	"135387280"@de
http://de.dbpedia.org/resource/Joseph_Goebbels 	"118540041"@de
http://de.dbpedia.org/resource/Jean_Bernard_Léon_Foucault 	"119019310"@de
http://de.dbpedia.org/resource/Johann_Heinrich_Zedler 	"118636316"@de
http://de.dbpedia.org/resource/Joachim_Neander 	"118586688"@de
http://de.dbpedia.org/resource/Jürgen_Trittin 	"113122136"@de
http://de.dbpedia.org/resource/Jan_Lukasiewicz 	"119268663"@de
http://de.dbpedia.org/resource/Johannes_Heinrich_Schultz 	"118762311"@de
http://de.dbpedia.org/resource/Jean-Baptiste_Lully 	"118575287"@de
http://de.dbpedia.org/resource/Kurt_Gödel 	"11869569X"@de
http://de.dbpedia.org/resource/Kevin_Spacey 	"124738931"@de
http://de.dbpedia.org/resource/Konrad_Zuse 	"118637436"@de
http://de.dbpedia.org/resource/Karl_Dönitz 	"118526251"@de
http://de.dbpedia.org/resource/Karl_Richard_Lepsius 	"118727699"@de
http://de.dbpedia.org/resource/Kirk_Douglas 	"118818856"@de
http://de.dbpedia.org/resource/Kurt_Tucholsky 	"11862444X"@de
http://de.dbpedia.org/resource/Konrad_Adenauer 	"11850066X"@de
http://de.dbpedia.org/resource/Kyle_MacLachlan 	"129210714"@de
http://de.dbpedia.org/resource/Kate_Winslet 	"121008746"@de
http://de.dbpedia.org/resource/Karl_Marx 	"118578537"@de
http://de.dbpedia.org/resource/Keith_Jarrett 	"118557068"@de
http://de.dbpedia.org/resource/Karl_Popper 	"118595830"@de
http://de.dbpedia.org/resource/Kofi_Annan 	"12296201X"@de
http://de.dbpedia.org/resource/Karl_Oppel 	"127094296"@de
http://de.dbpedia.org/resource/Kazimierz_Kuratowski 	"107876779"@de
http://de.dbpedia.org/resource/Karl_May 	"118818651"@de
http://de.dbpedia.org/resource/Karl_der_Große 	"118560034"@de
http://de.dbpedia.org/resource/Konrad_Duden 	"118527754"@de
http://de.dbpedia.org/resource/Kevin_Smith 	"124138152"@de
http://de.dbpedia.org/resource/Kurd_Laßwitz 	"118569961"@de
http://de.dbpedia.org/resource/Lauren_Bacall 	"118505475"@de
http://de.dbpedia.org/resource/Loriot 	"118729101"@de
http://de.dbpedia.org/resource/Louis_Armstrong 	"118504053"@de
http://de.dbpedia.org/resource/Lars_von_Trier 	"119409070"@de
http://de.dbpedia.org/resource/Leni_Riefenstahl 	"118600761"@de
http://de.dbpedia.org/resource/Louise_Aston 	"118650769"@de
http://de.dbpedia.org/resource/Ludwig_Wittgenstein 	"118634313"@de
http://de.dbpedia.org/resource/Robert_Baden-Powell 	"118505718"@de
http://de.dbpedia.org/resource/Linda_Hamilton 	"136749216"@de
http://de.dbpedia.org/resource/Leonardo_DiCaprio 	"119555751"@de
http://de.dbpedia.org/resource/Lorraine_Bracco 	"131958577"@de
http://de.dbpedia.org/resource/Louis_de_Broglie 	"118674293"@de
http://de.dbpedia.org/resource/Lise_Meitner 	"118580477"@de
http://de.dbpedia.org/resource/Leonardo_da_Vinci 	"118640445"@de
http://de.dbpedia.org/resource/Ludwik_Lejzer_Zamenhof 	"118643495"@de
http://de.dbpedia.org/resource/Lionel_Jospin 	"119105004"@de
http://de.dbpedia.org/resource/Ludwig_Erhard 	"118530755"@de
http://de.dbpedia.org/resource/Lauri_Ingman 	"119195402"@de
http://de.dbpedia.org/resource/Levi_Strauss 	"118799142"@de
http://de.dbpedia.org/resource/Leonhard_Euler 	"118531379"@de
http://de.dbpedia.org/resource/Louis_Braille 	"11916258X"@de
http://de.dbpedia.org/resource/George_Gordon_Byron 	"118518208"@de
http://de.dbpedia.org/resource/Lyman_Frank_Baum 	"119196476"@de
http://de.dbpedia.org/resource/Luigi_Galvani 	"104238135"@de
http://de.dbpedia.org/resource/Marlon_Brando 	"118514377"@de
http://de.dbpedia.org/resource/Mary_Pickford 	"119031035"@de
http://de.dbpedia.org/resource/Edward_Plunkett,_18._Baron_of_Dunsany 	"119241595"@de
http://de.dbpedia.org/resource/William_Thomson,_1._Baron_Kelvin 	"118777033"@de
http://de.dbpedia.org/resource/Leo_Perutz 	"118740083"@de
http://de.dbpedia.org/resource/Michael_Douglas 	"118891375"@de
http://de.dbpedia.org/resource/Madonna_(Künstlerin) 	"118829688"@de
http://de.dbpedia.org/resource/Meryl_Streep 	"118823655"@de
http://de.dbpedia.org/resource/Martin_Scorsese 	"118811991"@de
http://de.dbpedia.org/resource/M._Night_Shyamalan 	"132065053"@de
http://de.dbpedia.org/resource/Miles_Davis 	"118524046"@de
http://de.dbpedia.org/resource/Mel_Gibson 	"119095394"@de
http://de.dbpedia.org/resource/Michael_Cimino 	"118876732"@de
http://de.dbpedia.org/resource/Mel_Brooks 	"11851573X"@de
http://de.dbpedia.org/resource/Mika_Kaurismäki 	"138165475"@de
http://de.dbpedia.org/resource/Mick_Jagger 	"118556592"@de
http://de.dbpedia.org/resource/Miloš_Forman 	"118945440"@de
http://de.dbpedia.org/resource/Mack_Sennett 	"119041901"@de
http://de.dbpedia.org/resource/Maria_Schrader 	"121621707"@de
http://de.dbpedia.org/resource/Mira_Sorvino 	"121991776"@de
http://de.dbpedia.org/resource/Majorian 	"118990543"@de
http://de.dbpedia.org/resource/Michael_Ende 	"118530259"@de
http://de.dbpedia.org/resource/Max_Planck 	"118594818"@de
http://de.dbpedia.org/resource/Max_Frisch 	"118536109"@de
http://de.dbpedia.org/resource/Marie_Curie 	"118523023"@de
http://de.dbpedia.org/resource/Michael_Faraday 	"118531921"@de
http://de.dbpedia.org/resource/Martin_Schrettinger 	"117060275"@de
http://de.dbpedia.org/resource/Margarethe_von_Trotta 	"118760998"@de
http://de.dbpedia.org/resource/Mark_Twain 	"118624822"@de
http://de.dbpedia.org/resource/Medici 	"118732455"@de
http://de.dbpedia.org/resource/Mimi_Leder 	"140457348"@de
http://de.dbpedia.org/resource/Léon_Walras 	"118806068"@de
http://de.dbpedia.org/resource/Max_Born 	"118513621"@de
http://de.dbpedia.org/resource/Margaret_Mitchell 	"118734202"@de
http://de.dbpedia.org/resource/Niklas_Luhmann 	"118575147"@de
http://de.dbpedia.org/resource/Nerva 	"118785931"@de
http://de.dbpedia.org/resource/Neil_Armstrong 	"11896416X"@de
http://de.dbpedia.org/resource/Nikolaus_von_Kues 	"118588095"@de
http://de.dbpedia.org/resource/Nostradamus 	"11858880X"@de
http://de.dbpedia.org/resource/Neve_Campbell 	"136076750"@de
http://de.dbpedia.org/resource/Nick_Nolte 	"119151502"@de
http://de.dbpedia.org/resource/Nero 	"118586998"@de
http://de.dbpedia.org/resource/Neal_Stephenson 	"120560178"@de
http://de.dbpedia.org/resource/Niccolò_Machiavelli 	"118575775"@de
http://de.dbpedia.org/resource/Napoleon_Bonaparte 	"118586408"@de
http://de.dbpedia.org/resource/Nikolaus_Kopernikus 	"118565273"@de
